Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
28;21100443326;"Molecular Astrophysics";journal;"24056758";1,080;Q2;11;9;35;673;184;35;3,06;74,78;Netherlands;Western Europe;"Elsevier BV";"2015-2020";"Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
29;28245;"Solar Physics";journal;"00380938, 1573093X";1,026;Q2;123;175;528;8443;1979;522;3,74;48,25;Netherlands;Western Europe;"Springer Netherlands";"1967-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
30;130032;"Journal of Cosmology and Astroparticle Physics";journal;"14757516";0,873;Q2;141;694;1985;50061;12392;1984;6,50;72,13;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2003-2020";"Astronomy and Astrophysics (Q2)"
31;28074;"International Journal of Modern Physics D";journal;"02182718, 17936594";0,818;Q2;92;205;802;10600;2854;781;3,72;51,71;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2020";"Astronomy and Astrophysics (Q2); Mathematical Physics (Q2); Space and Planetary Science (Q2)"
32;27195;"Experimental Astronomy";journal;"15729508, 09226435";0,788;Q2;47;29;128;1408;403;126;3,49;48,55;Netherlands;Western Europe;"Springer Netherlands";"1989-2006, 2008-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
33;21100826328;"Journal of Astronomical Instrumentation";journal;"22511725, 22511717";0,760;Q2;24;21;75;489;211;72;2,72;23,29;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2012-2020";"Instrumentation (Q1); Astronomy and Astrophysics (Q2)"
34;27137;"Celestial Mechanics and Dynamical Astronomy";journal;"15729478, 09232958";0,715;Q2;58;55;214;1926;520;212;2,40;35,02;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Applied Mathematics (Q2); Astronomy and Astrophysics (Q2); Computational Mathematics (Q2); Mathematical Physics (Q2); Modeling and Simulation (Q2); Space and Planetary Science (Q2)"
35;27773;"Planetary and Space Science";journal;"00320633";0,696;Q2;92;258;474;13297;1158;464;2,35;51,54;United Kingdom;Western Europe;"Elsevier Ltd.";"1959-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
36;21100241218;"Astronomy and Computing";journal;"22131337";0,692;Q2;31;46;133;2012;475;132;3,53;43,74;Netherlands;Western Europe;"Elsevier BV";"2013-2020";"Astronomy and Astrophysics (Q2); Computer Science Applications (Q2); Space and Planetary Science (Q2)"
37;12375;"Advances in Space Research";journal;"02731177, 18791948";0,682;Q2;96;556;1539;23227;4143;1519;2,65;41,78;United Kingdom;Western Europe;"Elsevier Ltd.";"1981-2020";"Aerospace Engineering (Q1); Astronomy and Astrophysics (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Geophysics (Q2); Space and Planetary Science (Q2); Atmospheric Science (Q3)"
38;21100833030;"Galaxies";journal;"20754434";0,646;Q2;26;85;332;6246;923;325;3,17;73,48;Switzerland;Western Europe;"MDPI AG";"2013-2020";"Astronomy and Astrophysics (Q2)"
39;27688;"Journal of Astrophysics and Astronomy";journal;"02506335";0,631;Q2;35;47;196;2128;483;190;1,85;45,28;India;Asiatic Region;"Springer India";"1980-2020";"Astronomy and Astrophysics (Q2); Space and Planetary Science (Q3)"
40;27946;"Geophysical and Astrophysical Fluid Dynamics";journal;"10290419, 03091929";0,611;Q2;36;48;77;1953;173;75;1,77;40,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971, 1973, 1975, 1977-2020";"Computational Mechanics (Q1); Astronomy and Astrophysics (Q2); Geochemistry and Petrology (Q2); Geophysics (Q2); Mechanics of Materials (Q2)"
41;21100316609;"Life Sciences in Space Research";journal;"22145532, 22145524";0,588;Q2;21;62;128;2746;299;120;1,96;44,29;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Astronomy and Astrophysics (Q2); Ecology (Q2); Health, Toxicology and Mutagenesis (Q2); Radiation (Q2)"
42;28073;"International Journal of Modern Physics A";journal;"0217751X, 1793656X";0,581;Q3;108;358;1027;15407;2207;1020;2,22;43,04;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1989, 1996-2020";"Atomic and Molecular Physics, and Optics (Q2); Nuclear and High Energy Physics (Q2); Astronomy and Astrophysics (Q3)"
43;12100154807;"Journal of the Korean Astronomical Society";journal;"12254614, 2288890X";0,568;Q3;22;15;56;487;119;56;2,71;32,47;South Korea;Asiatic Region;"Korean Astronomical Society";"1993, 2008-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
44;21100423216;"Journal of Astronomical Telescopes, Instruments, and Systems";journal;"23294221, 23294124";0,552;Q3;28;100;244;3537;669;240;2,75;35,37;United States;Northern America;"SPIE";"2015-2020";"Control and Systems Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Instrumentation (Q2); Mechanical Engineering (Q2); Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
45;21100812137;"New Space";journal;"21680264, 21680256";0,534;Q3;10;28;97;648;103;83;0,86;23,14;United States;Northern America;"Mary Ann Liebert Inc.";"2013-2020";"Aerospace Engineering (Q2); Energy Engineering and Power Technology (Q2); Safety, Risk, Reliability and Quality (Q2); Tourism, Leisure and Hospitality Management (Q2); Astronomy and Astrophysics (Q3)"
46;27424;"Annales Geophysicae";journal;"14320576, 09927689";0,522;Q3;93;93;327;4814;675;326;2,03;51,76;Germany;Western Europe;"European Geosciences Union";"1983-1985, 1988-1990, 1994-2020";"Earth and Planetary Sciences (miscellaneous) (Q2); Geology (Q2); Astronomy and Astrophysics (Q3); Atmospheric Science (Q3); Space and Planetary Science (Q3)"
47;17800156777;"Research in Astronomy and Astrophysics";journal;"16744527";0,516;Q3;47;211;470;11731;1021;470;2,33;55,60;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2009-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
48;26758;"Astronomy Letters";journal;"10637737, 15626873";0,499;Q3;44;77;209;2676;414;209;2,26;34,75;Russian Federation;Eastern Europe;"Pleiades Publishing";"1996-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
